abandon	放弃；放纵
exclamation	惊叹词；惊呼
exclude	排斥；排除
exclusive	孤僻的；专用的
excoriate	撕去皮；严厉批评
excrete	排泄，分泌
exculpate	开脱；申明无罪
excursion	短途旅游
excursive	离题的，随意的
execrable	极坏的
execrate	憎恶；咒骂
execute	执行，履行；将某人处死
exemplary	可作楷模的
exemplify	是…的典型
exempt	被免除的；使免除
exert	运用
exhale	呼出
exhaust	废气，蒸气；使非常疲倦
exhaustive	彻底的；无遗漏的
exhilarate	使高兴
exhilaration	高兴，活跃
exhort	力劝；勉励
exigent	紧急的，迫切的
existential	有关存在的，存在主义的
exodus	大批离去，成群外出
exonerate	免除责任
exorbitant	过分的，过度的
exorcise	驱魔；去除
exotic	珍奇的；来自异国的
expand	扩大，膨胀
expansive	健谈的，开朗的；可扩大的，可伸展的
expediency	方便；权宜之计
expedient	权宜之计，临时手段
exeditious	迅速的，敏捷的
expel	排出；开除
expend	花费；用光
expenditure	消耗，支出
expertise	专门技术，专业知识
expiate	赎罪，补偿
expiration	期满，终止
expire	期满；去世
explicate	详细解说
explicit	清楚明确的；成熟的，成形的
exploit	剥削；开发利用；英勇行为
explosive	炸药；爆炸性的；使人冲动的
exponent	说明者，支持者；指数
exponentially	指数地；迅速增长地
exposition	阐释；博览会
expository	说明的
expostulate	争论，抗议；告诫
exposure	暴露，显露，曝光
expound	解释；阐释
expressly	清楚地；特意地
expunge	删除
expurgate	删除；使纯洁
exquisite	精致的；近乎完美的
extant	现存的
extemporaneous	即席的，没有准备的
extemporize	即席演说
extend	延展，延长
extenuate	掩饰；减轻罪过
exterminate	消灭，灭绝
externalize	使…表面化
extinct	绝种的，不存在的
extinguish	使…熄灭；使…不复存在
extirpation	根除，铲除
extol	赞美
extort	勒索，敲诈
extract	拔出；强索
extraneous	外来的；无关的
extrapolate	预测，推测
extravagance	奢侈，挥霍
extremist	极端主义者
extricable	可解救的，能脱险的
extricate	摆脱，脱离；拯救，救出
extrovert	性格外向者
exuberance	愉快；茁壮
exuberant	充满活力的；茂盛的
exude	使慢慢流出；四溢
exult	欢腾，喜悦
fabric	纺织品；结构
fabricate	捏造；制造
facade	建筑物的正面；外表
facet	小平面
facetious	轻浮的，好开玩笑的
facile	容易做的
facilitate	使容易，促进
facilities	设备，工具
faction	派系；派系斗争
factorable	能分解成因子的
factotum	杂工，打杂
factual	真实的，事实的
faculty	全体教员；官能
fad	狂热，时尚
faddish	流行一时的，时尚的
fade	褪色，消失，凋谢
falcon	猎鹰；隼
fallacious	欺骗的；谬误的
fallacy	谬误，错误
fallibility	易于出错的，出错性
fallible	会犯错的，易犯错的
fallow	休耕地；休耕的
falsehood	谎言
falter	摇晃，蹒跚；支吾地说
familiarity	精通；亲近；不拘礼仪
famine	饥荒
famish	使饥饿
fanatic	狂热者
fang	毒牙
fantasy	想象；幻想
farce	闹剧；荒谬，胡闹
farewell	再会，再见；辞行，告别
far-reaching	影响深远的
fast	绝食，斋戒；很快地，紧紧地
fasten	固定某物
fastidious	难以取悦的；爱挑剔的
fastness	要塞，堡垒
fatal	致命的；灾难性的
fathom	英寻；彻底明白，了解
fatigue	疲乏，劳累
fatten	使长肥；使土壤肥沃
fatuity	愚蠢，愚昧
fatuous	愚昧而不自知的
faucet	水龙头
fault	错误；断层
faultfinder	喜欢挑剔的人
favorable	有利的；赞成的
fawn	未满周岁的小鹿
faze	使狼狈，折磨
feasible	可行的，可能的
feat	功绩，壮举
feature	特色，特点，特征
feckless	效率低的，不负责的
fecundity	多产，富饶；繁殖力，生殖力
feeble	虚弱的
feign	假装，伪装
feigned	假装的；不真诚的
feint	佯攻，佯击
felicitous	适当的，得体的
fell	兽皮；砍伐；凶猛的，毁灭性的
felon	重罪犯
felony	重罪
feminist	女权主义者
fender	挡泥板；护舷的垫子
feral	凶猛的；野的
ferment	发酵；骚动
fern	羊齿植物，蕨
ferret	雪貂；用雪貂猎取；搜寻
ferrous	含铁的
fertile	多产的；肥沃的
fertilize	受精，受粉；施肥
fertilizer	肥料，化肥
fervid	炽热的，热情的
fervor	热诚，热心
fester	溃烂，化脓
festive	欢乐的
fetid	有恶臭的
fetter	脚镣；束缚
fetus	胎儿
feud	宿怨，不和
fiasco	大失败，惨败
fiat	命令
fickle	易变的，不坚定的
fictitious	假的；虚构的
fidget	坐立不安；烦躁之人
fig	无花果；毫不理会；一点儿
figment	虚构的东西
figurative	比喻的，借喻的
figurehead	名义领袖；傀儡
figurine	小塑像，小雕像
file	锉刀；锉平；
filibuster	妨碍议事，阻挠
filigree	金银丝做的工艺品
filings	锉屑
filly	小母马
filter	滤纸
filth	肮脏；粗语
finale	最后，最终；乐曲的最后部分
finesse	技巧；计谋；手段
finicky	苛求的，过分讲究的
finite	有限的
firearm	枪支
firefly	萤火虫
fiscal	国库的
fissure	裂缝
fixate	使固定；使不变；注视，凝视
flaccid	松弛的；软弱的
flag	减弱，衰弱；枯萎
flagging	下垂的；衰弱的
flaggy	枯萎的；松软无力的
flail	连枷；打，打击
flak	高射炮；指责
flamboyant	艳丽的，炫耀的
flammable	易燃的
flange	凸缘，轮缘
flare	摇曳，闪耀
flask	烧瓶，细颈瓶
flatcar	平台型铁路货车
flatten	变平
flatter	恭维，奉承
flaw	瑕疵；生裂缝；有瑕疵
flax	亚麻
fledge	小鸟长飞羽，变得羽毛丰满
fledgling	幼鸟；无经验的人
fleeting	短暂的；飞逝的
flexible	易弯曲的，灵活的
flight	飞行，飞翔；逃跑
flimsy	轻而薄的；脆弱的
flinch	畏缩，退缩
flint	打火石，燧石
flip	无礼的；冒失的；轻率的
flirt	挑逗，调戏
flit	掠过，迅速飞过
flock	羊群；鸟群
floodgate	闸门
flora	植物群
florid	华丽的；红润的
flounder	挣扎；艰苦地移动；比目鱼
flourish	昌盛，兴旺；活跃而有影响力
flout	蔑视，违抗
fluctuate	波动；变化
fluffy	有绒毛的；空洞的
fluke	侥幸成功；意想不到的事
fluorescent	荧光的，发光的
flush	脸红；奔流；冲洗
flustered	慌张的
flutter	拍翅
fluvial	河流的，坐在河中的
flux	不断的变动；动荡不定
foible	小缺点，小毛病
foil	钝剑；箔，锡箔纸
fold	羊栏，畜栏；折叠
folder	文件夹，纸夹
foliage	叶子
folklore	民间传说；民俗学
folly	愚蠢；愚蠢的行为、思想或做法
foment	煽动；助长
foodstuff	食料，食品
foolproof	容易懂的，简单而不会误用的
foppish	纨绔子弟的；浮华的，俗丽的
forage	饲料，粮草；搜寻，翻寻
forager	为动物寻找饲料的人
forbearance	自制；忍耐
forbid	不许，禁止；妨碍，阻止
forbidding	冷淡的 ；形势险恶的
ford	浅滩，水浅可涉处；涉水
forebode	预感，凶兆
forecast	预报，预测
foreknowledge	预知
forerunner	预兆，前兆；先驱
foreshadow	预示
foresight	远见，深谋远虑
forestall	预先阻止；阻止
forestry	森林学；林产；林地
forfeit	丧失，被罚没收；丧失的东西
forge	铁匠铺；锤炼；伪造
forger	伪造者；打铁匠
forgery	伪造
forgo	放弃，抛弃
formality	遵循的规范；拘泥形式；正式
formation	组织，形成；编队
formidable	可怕的；难以克服的
formula	分子式；公式；套语，惯用语
forsake	遗弃，放弃
forte	长处，擅长的事；强音的
forthright	直率的
fortify	加强防卫
fortitude	坚毅，坚忍不拔
fortuitous	偶然发生的，巧合的；幸运的
forum	辩论的场所，论坛
forward	过激的；莽撞的
fosse	护城河
fossilize	成为化石；过时
foster	培养，鼓励；领养
foul	恶臭的；邪恶的；弄脏；犯规
founder	沉默；失败；摔倒，绊
four-poster	四柱大床
foyer	门厅，休息室
fracas	喧嚷，吵闹
fraction	碎片；小部分
fractious	易怒的，好争吵的
fracture	骨折；折断
fragile	易碎的，易坏的
fragment	碎片；分裂
fragrance	香料；香味
fragrant	芳香的
frail	脆弱的；不坚实的
frantic	疯狂的，狂乱的
fraud	欺诈，欺骗
fraudulent	欺骗的，不诚实的
fraught	充满…的
freckle	雀斑，斑点
freelancer	自由职业者
freight	货物；装货于
frenetic	狂乱的，发狂的
frenzy	极度激动的状态；狂暴
frequency	频率
frequent	时常来访；惯常的
fresco	壁画
fret	烦躁，焦虑
friable	易碎的
friction	摩擦；矛盾，冲突
frieze	横条，饰带
frigid	寒冷的；冷淡的
frigidity	寒冷；冷淡
fringe	须边；边缘
frisky	活泼的，快活的
frivolous	轻薄的，轻佻的
frond	蕨类或棕榈等的叶子
frothy	起泡的；空洞的
frugal	节约的，节俭的
fruition	实现，完成
frustrate	挫折，使沮丧
fulcrum	杠杆支点，支柱
fulfil	履行；满足，符合
full-blown	盛开的
full-bodied	浓郁而强烈的
full-fledged	羽毛丰满的；成熟的
fulminate	猛烈抨击，严厉谴责
fulsome	虚情假意的；充足的
fumble	摸索，笨拙搜寻；弄乱，搞糟
fume	愤怒；冒烟
fumigate	以烟熏消毒
functional	起作用的，能运转的
functionary	小官，低级公务员
fundamental	最根本的，基本的；十分重要的
fungi	菌类，蘑菇
fungicide	杀真菌剂
furnace	锅炉
furor	轰动；盛怒
furrow	犁沟；皱纹
furtive	偷偷的，秘密的
fusillade	齐射，连发
fusion	融合；聚变
fuss	大惊小怪
fussy	爱挑剔的
fusty	陈腐的；霉臭的
futile	无效的，无用的；没出息的；琐细的
futility	无用，无益
gadfly	虻，牛虻
gadget	小工具，小机械
gaffe	失言，失态
gaggle	鹅群
gainsay	否认
gait	步法，步态
galaxy	星群；显赫的人群
gall	胆汁；怨恨；激怒
gallant	勇敢的；献殷勤的
galley	船上的厨房
gallon	加仑
galvanize	电镀；通电；激励
gamble	赌博；孤注一掷
gambol	雀跃；嬉戏
gangway	跳板
gape	裂开；目瞪口呆地凝视
garble	曲解，篡改
garbled	引起误解的；篡改的
gardenia	栀子花
gargantuan	巨大的，庞大的
gargoyle	滴水嘴；面貌丑恶的人
garish	俗丽的；过于艳丽的
garment	衣服
garner	收藏，积累
garnish	装饰
garrulity	唠叨，饶舌
garrulous	唠叨的，饶舌的
gaseous	似气体的
gash	深长的伤口；裂缝
gasification	气化
gaucherie	笨拙
gaudy	俗丽的
gauge	标准规格；测量仪；测量
gavel	槌，小木槌
gaze	凝视，注视
gazetteer	地名词典，地名表
gear	齿轮；装备；仪器
gem	宝石，珠宝；精华
gene	基因
genealogy	家谱学
generality	概述
genaralize	归纳
generate	造成；产生
generation	一代人；代；产生，发生
generator	发电机
generic	种类的，类属的
generosity	慷慨，大方
genesis	创始，起源
genetic	遗传的；起源的
genetics	遗传学
genial	愉快的，脾气好的
genome	基因组，染色体组
genre	类型
genteel	上流社会的；装作彬彬有礼的
gentle	温和的，慈祥的
gentry	绅士，上等人
genuine	真的；真诚的
genus	属
geometrician	几何学家
germ	胚芽，芽孢；微生物，细菌
germane	有密切关系的；贴切的
germicide	杀菌剂
germinate	发芽；发展
gerontocracy	老人统治的政府
gerontology	老人病学
gerrymander	不公正地将划成选区
gesture	姿势，手势，姿态
geyser	天然热喷泉
gibe	嘲笑，讥笑
giddy	轻浮的，不严肃的
giddle	咯咯笑
gild	镀金，虚饰
gimmick	吸引人的花招，噱头
ginger	姜；活力
gingerly	小心的；谨慎的
girder	大梁
girth	腰身；周长
gist	要点，要旨
glacial	冰期的，冰河期的；寒冷的
 glade	林中的空地
gladiator	角斗士，与野兽搏斗者
glance	一瞥
glare	发出炫目光芒；怒目而视
glaze	装玻璃于；上釉彩；釉
glean	拾落穗；收集
glib	流利圆滑的，善辩的
glide	滑行，滑动
glimmer	发微光；摇曳的微光
glisten	闪烁，闪耀
glitch	小故障
gloat	幸灾乐祸地看，窃喜
gloom	黑暗；忧郁
gloomy	阴暗的；没有希望的；阴郁的
gloss	光泽；注解
glossary	词汇表；难词表
glossy	光泽的，光滑的
glow	光亮，发热；红
glower	怒目而视
glowing	热情赞扬的
glucose	葡萄糖
glut	过多；供过于求
glutinous	粘的，胶状的
gluttonous	贪吃的，贪嘴的
gnarled	多节的；粗糙的
gnaw	啃，咬
goad	赶牛棒；刺激，激励
gobble	贪婪地吃；吞没
goblet	高脚酒杯
goldbrick	逃避责任，偷懒
goodwill	友好
gospel	教义，信条
gossamer	蛛丝；薄纱；轻而薄的
gouge	半圆凿；挖出；敲竹杠
gourmand	嗜食者
gourmet	美食家
grace	优美
gracious	大方的，和善的
gradation	渐变；阶段，等级
graduated	按等级分的
graft	嫁接
grain	谷物；小的硬粒
grandeur	壮丽，伟大
grandiose	宏伟的；夸大的
grandstand	大看台；哗众取宠
granite	花岗石
grant	同意给予
graphic	图表的
graphite	石墨
grasping	贪心的，贪婪的
grate	吱嘎磨碎；使人烦躁
grateful	感激的
gratification	满足，喜悦
gratify	使高兴，使满足
grating	刺耳的；恼人的
gratitude	感激
gratuitous	无缘无故的
gratuity	赏钱，小费
grave	严峻的；墓穴
gravel	碎石，砂砾
gravitational	万有引力的
gravity	严肃，庄重
graze	吃草；放牧
grease	动物油脂；滑脂
green	新鲜的，未成熟的；无经验的
greenhouse	花房，温室
gregarious	群居的；爱社交的
gregariousness	群居；合群
grief	忧伤，悲伤
grievance	委屈，抱怨
grieve	使某人极为悲伤
grievous	严重伤害的
grill	烤；拷问；烤架
grim	冷酷的，可怕的
grimace	做鬼脸，面部歪曲
grin	露齿而笑
grind	枯燥乏味的工作；磨碎，碾碎
gripe	抱怨
gripping	紧紧抓住注意力的
grisly	恐怖的，可怕的
gristle	软骨；肉中难吃的硬组织
grit	沙粒；决心，勇气；下定决心，咬紧牙关
groan	呻吟，叹息
groom	马夫；新郎
groove	凹线；线条；习惯
grope	摸索，探索
gross	总的；粗野的；整个，全部
grotto	洞穴
grouch	牢骚，不满
grounded	有理由的；地面上
group	使…集合；群，集
grouse	松鸡；发牢骚，诉苦
grove	小树林，树丛
grovel	摇尾乞怜，奴颜婢膝
grueling	繁重而累人的
grumble	喃喃诉苦，发怨言
guarantee	保证，担保
guffaw	哄笑，大笑
guile	欺诈；狡猾
guileless	厚道的，老实的
guillotine	断头台
guilt	罪行；内疚
guilty	有罪的
guise	外观，装束
gullible	易受骗的
gulp	吞食，咽下
gum	树胶，橡皮
guru	古鲁；教师或权威
gush	涌出；滔滔不绝地说
gusher	滔滔不绝的说话者
gust	阵风；一阵
gustation	品尝；味觉
gustatory	味觉的，品尝的
gutter	水槽；街沟
guy	支索，牵索
guzzle	大吃大喝
gyrate	旋转的；旋转
habitat	自然环境，栖息地
habituate	使习惯于
hack	乱劈，乱砍；雇佣文人
hackneyed	陈腐的，不新奇的
hail	冰雹；致敬
halcyon	平静的；愉快的
hale	健壮的，矍铄的
halfhearted	不认真的，不热心的
hallmark	纯度印记；特征
hallow	把…视为神圣，尊敬
hwllowed	神圣的
hallucination	幻觉
halo	晕；神像之光环
halting	踌躇的，吞吞吐吐的
hammer	锤子，槌
hamper	妨碍，阻挠；有盖提篮
handle	柄，把手；处理
hangar	飞机库
hangdog	忧愁的；低贱的
handkering	渴望
haphazard	任意的，偶然的
harangue	长篇指责性演说
harass	侵扰，烦扰
harbinger	先驱，先兆
harbor	港，避难所；包庇，隐匿
harden	变硬，变坚强
hardheaded	现实的，精明的
hardy	耐寒的；强壮的
harmony	相符，一致；协调，匀称
harness	马具；束以马具；利用
harp	竖琴；喋喋不休地说或写
harpsichord	键琴
harridan	凶恶的老妇，老巫婆
harrow	耙；使痛苦
harrowing	悲痛的，难受的
harry	掠夺；袭扰；折磨
harsh	严厉的；粗糙的；刺耳的
harshly	严酷地，无情地
hasten	催促，促进
hasty	急急忙忙的
hatch	船舱盖；孵化
haughty	傲慢的，自大的
haunt	常到；鬼魂出没；萦绕心头；常去的地方
hauteur	傲慢的，自大的
haven	安息所，避难所
havoc	大破坏，混乱
hawk	隼，鹰
hazard	危险
hazardous	危险的
headlong	轻率的，迅猛的
headstrong	刚愎自用的
headway	进步，进展
heal	治愈
hearken	倾听
hearten	鼓励，激励
heartrending	令人心碎的
heavy-handedness	笨拙，粗劣
heckle	诘问，困扰
hectic	兴奋的；繁忙的
hector	凌辱，威吓
hedge	树篱；限制
hedonist	享乐主义者
heed	注意，留心；关心
hegemony	霸权，领导权
heinous	十恶不赦的，可憎的
heir	继承人
heirloom	传家宝
helmet	头盔，钢盔
hem	包围；吞吞吐吐地说；袖边，边缘
hemisphere	半球
hemophilia	血友病，出血不止
hemorrhage	出血
hemostat	止血器；止血剂
herbaceous	草本植物的
herbicide	除草剂
herbivorous	食草的
herd	兽群；聚集
hereditary	祖传的，世袭的
heresy	异端邪说
heretic	异教徒
herretical	异端邪说的
hermetic	密封的；深奥的
hermit	隐士，修道者
herpetologist	爬行动物学家
heterodox	异端的，非正统的
heterogeneous	异类的，不同的
hew	砍伐；遵守
hexagon	六角形，六边形
hiatus	孔隙，裂缝
hibernate	冬眠，蛰伏
hide	兽皮
hidebound	顽固的，心胸狭窄的
hideous	讨厌的，丑恶的
hie	疾走；催促
hierarchy	阶层；等级制度
hieroglyph	象形文字，图画文字
hieroglyphic	象形文字，图画文字
highbrow	自以为文化修养很高的人
hike	高涨，上升；徒步旅行
hilarious	充满欢乐的；引起大笑的
hinder	阻碍，妨碍
hinge	铰链；关键
hirsute	多毛的
hiss	作嘘声；发出嘶嘶声
histology	细胞组织学
histrionic	演戏的；剧院的
hitherto	到目前为止
hive	蜂房；忙碌之地
hoard	贮藏，秘藏
hoary	灰白的；古老的
hoax	骗局，欺骗
hodgepodge	混淆；杂烩
hoe	锄头
hoist	吊高，升起；起重机
hold	货舱
holster	手枪皮套
homage	效忠，崇敬
homeostasis	体内平衡
homiletics	讲道术，说教术
homogeneity	同种，同质
homogeneous	同类的，相似的
homogenize	使均匀，使一致
hone	磨刀石；磨刀
honorarium	酬劳金，谢礼
hoodwink	蒙混，欺骗
hoof	蹄
hoop	箍，铁环
horizontal	水平的
hormone	荷尔蒙，激素
horn	角，角质；喇叭
horrific	可怕的，令人恐惧的
hortative	激励的
horticulture	园艺学
hospitable	思想开放的，善于接受的
hostile	敌对的，敌意的
hostility	敌对，不友好；憎恨
hovel	茅舍；肮脏的小屋
hover	翱翔；徘徊
hub	轴心
hubris	过分自傲，目中无人
huckster	叫卖小贩，零售商
hue	色彩，色泽
hulk	废船，船壳；笨重的人或物
hull	外壳；荚；船身；剥去外壳
humane	人道的，慈悲的
humble	卑微的；使谦卑
humdrum	单调的，乏味的
humid	湿润的
humidity	湿度，湿气
humiliate	使屈辱
humility	谦逊，谦恭
humor	纵容，迁就
hunch	直觉，预感
hurdle	跳栏；障碍；克服
hurl	猛投；大声叫骂
hurricane	飓风
husband	妥善而又节约地管理
husbandry	耕种，务农；节俭；管理
hush	肃静，安静
husk	外壳；皮，荚
husky	声音沙哑的
hybrid	杂种；混血人
hydrant	水龙头；消防栓
hydrate	水化物；水化
hymn	赞美诗
hyperactivity	活动过强，极度亢奋
hyperbole	夸张法
hypertension	高血压
hyphen	连字号
hypnotic	催眠的
hypocrite	伪善者，伪君子
hypocritical	虚伪的
hypotenuse	斜边
hypothesis	假设，假说
hypothetical	假设的
hysteria	歇斯底里症；过度兴奋
icicle	冰柱，冰垂
icon	圣像，偶像
iconoclast	攻击传统观念或风俗的人
ideology	思想体系，思想意识，意识形态
idiom	习语，语言的习惯用法；特色
idle	无所事事；无效的；懒散，无所事事
idolater	神像崇拜者
idyll	田园生活；田园诗
igneous	火的，火绒的
ignite	发光；点燃，燃烧
ignoble	卑鄙的
ignominious	可耻的；耻辱的
ignominy	羞耻，屈辱
ignorant	无知的，愚昧的
illegal	违法的
illegitimate	不合法的；私生的
illicit	违法的
illiterate	文盲的
illuminate	阐明，解释；照亮
illuminati	先觉者，智者
illusion	假象，错觉
illusive	迷惑人的，迷幻的
illusory	虚幻的
illlstrate	为…做插图或图表；说明，阐明
imbibe	饮；吸入
imbroglio	纠纷，纠葛
imbue(with)	灌输强烈的情感或意见
imitation	赝品；效法，冒充
imitative	模仿的
immaculate	洁净的，无暇的
immanent	内在的；普遍存在的
immemorial	太古的，极古的
immense	极大的；无限的
immensity	巨大之物；无限
immerse	浸入；沉浸于
imminent	即将发生的，逼近的
immolate	牺牲，焚祭
immune	免疫的；免除的
immunity	免疫；豁免
immunize	使免疫
immure	监禁
imp	小鬼；顽童
impact	冲击，影响
impair	损害，使弱
impale	刺入，刺中
impalpable	无法触及的；不易理解的
impart	传授，告知
impartial	公平的，无私的
impasse	僵局；死路
impassioned	慷慨激昂的
impassive	无动于衷的，冷漠的
impeach	指责；弹劾
impeccable	无瑕疵的
impecunious	一文不名的，贫困的
impede	妨碍
impediment	妨碍；阻碍物
impel	推进；驱使
impending	行将发生的，逼近的
impenetrable	不能穿透的；不可理解的
impenitent	不悔悟的
imperative	急需的
imperial	帝王的，至尊的
imperious	傲慢的，专横的
impermanent	暂时的
impermeable	不可渗透的，透不过的
impersonate	模仿；扮演
impertinence	无礼，粗鲁
imperturbable	冷静的，沉着的
impervious	不能渗透的；不为所动的
impetuous	冲动的，鲁莽的
impetus	推动力；刺激
impinge	侵犯；撞击
implant	注入；灌输
implausible	难以置信的
implement	工具，器具；实现，实施
implicate	牵连；暗示
implication	暗示
implicit	含蓄的，不言而喻的
implode	内爆；剧减
implore	哀求，恳求
impolitic	不智的，失策的
imponderable	无法衡量的
import	进口，输入；意义
importune	强求，不断请求
impose	征；加于；强加于
imposing	壮丽的，雄伟的
impostor	冒充者，骗子
imposture	冒充者，骗子
impoverish	使成赤贫
impregnable	攻不破的，征服不了的
impresario	经理人，主办者
impressed	被打动的；被感动的
impression	印象，感想；盖印，压痕
impressionable	易受影响的
imprint	盖印，刻印
impromptu	即席的，即兴的
improvident	不节俭的，无远见的
improvise	即席而坐
imprudent	轻率的；不智的
impudent	鲁莽的，无礼的
impugn	指责，对…表示怀疑
impuissance	无力，虚弱
impulse	冲动；刺激
impunity	免除惩罚
inadvertence	漫不经心
inalienable	不可剥夺的
inane	无意义的；愚蠢的；空洞的
inanimate	无生命的
inappreciable	微不足道的
inaugural	就职的，开幕的
inaugurate	举行就职典礼；开创
inborn	天生的，天赋的
incandescence	白炽，炽热发光
incantation	咒语
incarcerate	下狱，监禁
incarnate	具有肉体的；化身的
incendiary	防火的，纵火的
incense	香，香味；激怒
incentive	刺激，鼓励；刺激因素
inception	开端，开始；取得学位
incessant	无间断的，连续的
inch	慢慢前进，慢慢移动
inchoate	刚开始的；未发展的
incidence	事情发生；发生率
incinerate	焚化，毁弃
incipient	初期的，刚出现的
incise	切，切割
incision	切口；切割
incisive	一针见血的
incite	激发，刺激
inclement	严酷的；严厉的
inclusive	包含一切的，范围广的
incogitant	无思维能力的，考虑不周的
incommensurate	不成比例的，不相称的
incompatible	不能和谐共存的
incompetent	无能力的，不能胜任的
incongruity	不协调，不相称的
inconsequential	不重要的，微不足道的
inconstancy	反复无常
incontrovertible	无可辩驳的
incorporate	合并，并入
incorrigible	积习难改的，不可救药的
incorruptible	不受腐蚀的
incredulity	怀疑，不相信
increment	增值，增加
incriminate	连累，牵连
incubate	孵化；潜伏
incubation	孵卵期；潜伏期
incubator	孵卵器；早产婴儿保育箱
incubus	噩梦；梦魇般的精神压力，负担
inculcate	谆谆教诲，灌输
inculpate	连累；控告；归咎于
incumbent	在职者，现任者；义不容辞的
incur	招惹
indebted	感激的，感恩的
indecipherable	无法破译的
indecisive	非决定性的，迟疑不决的
indefatigable	不知疲倦的
indelible	擦拭不掉的，不可磨灭的
indemnify	赔偿，偿付
indemnity	赔偿；保障
indent	切割成锯齿状
indenture	契约，合同
indicate	显示，指出；象征
indict	控诉，起诉
indifferent	不感兴趣的，漠不关心的
indigence	贫穷
indigenous	土产的，本地的；天生的
indigent	贫穷的；贫困的
indignant	愤慨的，愤愤不平的
indignation	愤慨
indignity	侮辱，轻蔑；侮辱性的言行
indispensability	不可缺少
individual	单独的，特有的；个人，个体
indoctrinate	教导；灌输思想
indolent	懒惰的
indubitable	不容置疑的
induce	诱导；引起
induct	使就职；引起
induction	就职，入伍仪式；归纳
indulge	放纵；满足
indurate	使坚硬；使巩固
industrious	勤劳的，勤勉的
ineffable	妙不可言的
ineffectual	无效的，徒劳无益的
inelasticity	无弹性，无伸缩性
ineluctable	不能逃避的
inept	无能的；不适当的
ineptitude	无能，不称职
inequity	不公正，不公平
inert	惰性的；行动迟钝的
inertia	惰性；懒惰
inexhaustible	用不完的，取之不竭的
inexorable	不为所动的；坚决不变的
inexplicable	无法解释的
infant	婴儿
infantry	步兵
infatuation	迷恋
infection	传染，感染
infelicitous	不幸的，不妥当的
infelicity	不幸；不恰当
infer	推断，推定
inferior	下级的，低等的，质次的，较差的
inferno	火海，地狱般的场所
infest	骚扰，扰乱
infiltrate	渗透，渗入
infinitesimal	极微小的；极小量
infinity	无限的时间或空间
infirm	虚弱的
inflame	使燃烧；激怒
inflamed	发炎的
inflate	使充气，使膨胀
inflict	遭受
influx	注入，涌入
informed	见多识广的；消息灵通的
infraction	违法的
infringe	违反，侵害
infuriate	使极为愤怒
infuse	灌输；鼓励
ingenious	聪明的，有法明天才的
ingenue	天真无邪的少女
ingenuity	巧思，聪敏
ingenuous	淳朴的，单纯的
ingest	咽下，吞下
ingestion	摄取，吸收
ingrained	根深蒂固的
ingrate	忘恩负义的人
ingratiate	逢迎，讨好
ingratiating	讨好的，谄媚的
ingredient	成分；原料
inhabit	栖居于，占据
inhabitant	居民；栖息的动物
inherit	继承
inhumane	不近人情的
inimical	敌意的，不友善的
inimitable	无法仿效的，不可比拟的
iniquitous	邪恶的，不公正的
iniquity	邪恶，不公正
initial	开始的，最初的；首字母
initiate	发起，创始；接纳或介绍某人加入某团体等
initiative	主动；首创精神
injection	注射；注射剂
injunction	命令，强制令
injurious	有害的
inkling	暗示，迹象；略知，模糊概念
innate	生来的，天赋的
innocence	无辜，清白
innocuous	无害的
innovative	革新的
innuendo	含沙射影，暗讽
inoculate	预防注射
inordinate	过度的，过分的
inquiry	询问
inquisitive	过分好问的；好奇的
inroad	袭击
insatiable	不能满足的，贪心的
inscribe	在某物上写，题写
inscrutable	高深莫测的，神秘的
insecticide	杀虫剂
insensate	无感觉的；蠢笨的
insentient	无知觉的，无生命的
insider	局内人，圈内人
insidious	隐藏诡计的
insignia	徽章，袖章
insincerity	伪善
insinuate	暗指，暗示
insipid	乏味的，枯燥的
insolent	粗野的，无礼的
insoluble	不溶解的；不能解决的
insolvency	无力偿还；破产
insomnia	失眠症
insouciant	漫不经心的
inspection	检查，细看
inspiration	启示，灵感
inspired	有创见的，有灵感的
install	安装，装置；使就职
instantaneous	立即的；瞬间发生的
instate	任命，安置
instigate	发起，煽动
instill	滴注；逐渐灌输
instinctive	本能的
institute	制定，创立；学院，协会
institution	公共机构，协会；制度
institutionalized	制度化的，有组织的
instructive	传授知识的，启蒙的
instrumental	有帮助的，有作用的
instrumentalist	乐器演奏者
insular	岛屿的；心胸狭窄的
insularity	岛国状态，与外界隔绝的生活状况；褊狭
insulate	使绝缘；使隔离
insulin	胰岛素
insurgent	叛乱的，起事的；叛乱分子
insurrection	造反，叛乱
intact	完整的，未动过的
intangible	不可触摸的
integral	构成整体所必需的；完整的
integrate	使成整体
integrity	正直，诚实；完整
intellect	智力，思维能力
intellectual	智力的，理智的；知识分子
intelligible	可了解的，清晰的
intensify	加剧
intent	专心的，渴望的；目的，意向
intentional	存心的，故意的
inter	埋葬
interaction	相互作用
intercede	说好话，代为求情
intercept	中途拦截，截取
intercessor	仲裁者
interchangeable	可互换的
interdict	禁止；切断
inteference	干涉，妨碍
interim	中间时期，过渡时期；暂时的
interjection	插入语；感叹词
interlock	连锁，连串
interlocking	连锁的
interlude	暂时休息
intermediary	仲裁者；中间物；中间的，媒介的
interminable	无尽头的
intermingle	混合，掺杂
intermission	暂停，间歇
intermittent	断断续续的，间歇的
intern	拘禁，软禁；实习生
internecine	内讧，两败俱伤的
interplay	相互影响
interpolate	插入；篡改
interpose	置于…之间；介入
